checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default,age_group,loan_to_income,risk_flag
1 - 200 DM,18,poor,furniture/appliances,4297,< 100 DM,> 7 years,4,3,40,none,own,1,management,1,yes,1,Adult,1074.25,Normal
Missing,9,critical,education,936,500 - 1000 DM,> 7 years,4,2,52,none,own,2,skilled,1,yes,0,Middle Age,234.0,Normal
< 0 DM,12,good,car,1168,< 100 DM,1 - 4 years,4,3,27,none,own,1,unskilled,1,no,0,Adult,292.0,High Risk
Missing,27,poor,business,5117,< 100 DM,4 - 7 years,3,4,26,none,own,2,skilled,1,no,0,Adult,1705.6666666666667,Normal
< 0 DM,12,good,education,902,< 100 DM,4 - 7 years,4,4,21,none,rent,1,skilled,1,no,1,Young,225.5,High Risk
Missing,12,critical,car,1495,< 100 DM,> 7 years,4,1,38,none,own,2,unskilled,2,no,0,Adult,373.75,Normal
< 0 DM,30,critical,car,10623,< 100 DM,> 7 years,3,4,38,none,other,3,management,2,yes,0,Adult,3541.0,High Risk
Missing,12,critical,furniture/appliances,1935,< 100 DM,> 7 years,4,4,43,none,own,3,skilled,1,yes,0,Middle Age,483.75,Normal
1 - 200 DM,12,critical,furniture/appliances,1424,< 100 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,no,0,Adult,356.0,Normal
< 0 DM,24,good,business,6568,< 100 DM,1 - 4 years,2,2,21,store,own,1,unskilled,1,no,0,Young,3284.0,High Risk
Missing,12,good,car,1413,> 1000 DM,4 - 7 years,3,2,55,none,own,1,skilled,1,no,0,Middle Age,471.0,Normal
Missing,9,critical,furniture/appliances,3074,Missing,1 - 4 years,1,2,33,none,own,2,skilled,2,no,0,Adult,3074.0,Normal
Missing,36,good,furniture/appliances,3835,Missing,> 7 years,2,4,45,none,own,1,unskilled,1,yes,0,Middle Age,1917.5,Normal
< 0 DM,27,perfect,business,5293,< 100 DM,unemployed,2,4,50,store,own,2,skilled,1,yes,1,Middle Age,2646.5,High Risk
> 200 DM,30,poor,business,1908,< 100 DM,> 7 years,4,4,66,none,own,1,management,1,yes,1,Senior,477.0,Normal
Missing,36,critical,furniture/appliances,3342,Missing,> 7 years,4,2,51,none,own,1,skilled,1,yes,0,Middle Age,835.5,Normal
1 - 200 DM,6,critical,education,932,Missing,4 - 7 years,1,3,39,none,own,2,unskilled,1,no,0,Adult,932.0,Normal
< 0 DM,18,perfect,business,3104,< 100 DM,4 - 7 years,3,1,31,bank,own,1,skilled,1,yes,0,Adult,1034.6666666666667,High Risk
> 200 DM,36,good,furniture/appliances,3913,< 100 DM,1 - 4 years,2,2,23,none,own,1,skilled,1,yes,0,Young,1956.5,Normal
< 0 DM,24,good,furniture/appliances,3021,< 100 DM,1 - 4 years,2,2,24,none,rent,1,unskilled,1,no,0,Young,1510.5,High Risk
Missing,10,good,car,1364,< 100 DM,1 - 4 years,2,4,64,none,own,1,skilled,1,yes,0,Senior,682.0,Normal
1 - 200 DM,12,good,furniture/appliances,625,< 100 DM,< 1 year,4,1,26,bank,own,1,unskilled,1,no,0,Adult,156.25,Normal
< 0 DM,12,good,education,1200,Missing,1 - 4 years,4,4,23,bank,rent,1,skilled,1,yes,0,Young,300.0,Normal
Missing,12,good,furniture/appliances,707,< 100 DM,1 - 4 years,4,2,30,bank,own,2,skilled,1,no,0,Adult,176.75,Normal
Missing,24,poor,business,2978,Missing,1 - 4 years,4,4,32,none,own,2,skilled,2,yes,0,Adult,744.5,Normal
Missing,15,good,car,4657,< 100 DM,1 - 4 years,3,2,30,none,own,1,skilled,1,yes,0,Adult,1552.3333333333333,Normal
Missing,36,perfect,renovations,2613,< 100 DM,1 - 4 years,4,2,27,none,own,2,skilled,1,no,0,Adult,653.25,Normal
1 - 200 DM,48,good,furniture/appliances,10961,> 1000 DM,4 - 7 years,1,2,27,bank,own,2,skilled,1,yes,1,Adult,10961.0,Normal
< 0 DM,12,good,furniture/appliances,7865,< 100 DM,> 7 years,4,4,53,none,other,1,management,1,yes,1,Middle Age,1966.25,High Risk
Missing,9,good,furniture/appliances,1478,< 100 DM,4 - 7 years,4,2,22,none,own,1,skilled,1,no,1,Young,369.5,Normal
< 0 DM,24,good,furniture/appliances,3149,< 100 DM,< 1 year,4,1,22,bank,other,1,skilled,1,no,0,Young,787.25,High Risk
> 200 DM,36,good,furniture/appliances,4210,< 100 DM,1 - 4 years,4,2,26,none,own,1,skilled,1,no,1,Adult,1052.5,Normal
Missing,9,good,car,2507,500 - 1000 DM,> 7 years,2,4,51,none,other,1,unskilled,1,no,0,Middle Age,1253.5,Normal
Missing,12,good,furniture/appliances,2141,100 - 500 DM,4 - 7 years,3,1,35,none,own,1,skilled,1,no,0,Adult,713.6666666666666,Normal
1 - 200 DM,18,good,furniture/appliances,866,< 100 DM,1 - 4 years,4,2,25,none,own,1,unskilled,1,no,0,Young,216.5,Normal
Missing,4,critical,furniture/appliances,1544,< 100 DM,4 - 7 years,2,1,42,none,own,3,unskilled,2,no,0,Middle Age,772.0,Normal
< 0 DM,24,good,furniture/appliances,1823,< 100 DM,unemployed,4,2,30,store,own,1,management,2,no,1,Adult,455.75,High Risk
1 - 200 DM,6,good,car,14555,Missing,unemployed,1,2,23,none,own,1,unemployed,1,yes,1,Young,14555.0,Normal
1 - 200 DM,21,good,business,2767,100 - 500 DM,> 7 years,4,2,61,bank,rent,2,unskilled,1,no,1,Senior,691.75,Normal
Missing,12,critical,furniture/appliances,1291,< 100 DM,1 - 4 years,4,2,35,none,own,2,skilled,1,no,0,Adult,322.75,Normal
< 0 DM,30,good,furniture/appliances,2522,< 100 DM,> 7 years,1,3,39,none,own,1,skilled,2,no,0,Adult,2522.0,High Risk
< 0 DM,24,good,car,915,Missing,> 7 years,4,2,29,bank,own,1,skilled,1,no,1,Adult,228.75,Normal
Missing,6,good,furniture/appliances,1595,< 100 DM,4 - 7 years,3,2,51,none,own,1,skilled,2,no,0,Middle Age,531.6666666666666,Normal
< 0 DM,48,perfect,car,4605,< 100 DM,> 7 years,3,4,24,none,other,2,skilled,2,no,1,Young,1535.0,High Risk
Missing,12,critical,business,1185,< 100 DM,1 - 4 years,3,2,27,none,own,2,skilled,1,no,0,Adult,395.0,Normal
Missing,12,very good,education,3447,500 - 1000 DM,1 - 4 years,4,3,35,none,own,1,unskilled,2,no,0,Adult,861.75,Normal
Missing,24,good,business,1258,< 100 DM,4 - 7 years,4,1,25,none,own,1,skilled,1,yes,0,Young,314.5,Normal
Missing,12,critical,furniture/appliances,717,< 100 DM,> 7 years,4,4,52,none,own,3,skilled,1,no,0,Middle Age,179.25,Normal
Missing,6,perfect,car,1204,100 - 500 DM,1 - 4 years,4,1,35,bank,rent,1,skilled,1,no,0,Adult,301.0,Normal
> 200 DM,24,good,furniture/appliances,1925,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,no,0,Adult,962.5,Normal
Missing,18,good,furniture/appliances,433,< 100 DM,unemployed,3,4,22,none,rent,1,skilled,1,no,1,Young,144.33333333333334,Normal
< 0 DM,6,critical,car,666,> 1000 DM,4 - 7 years,3,4,39,none,own,2,unskilled,1,yes,0,Adult,222.0,Normal
> 200 DM,12,good,furniture/appliances,2251,< 100 DM,1 - 4 years,1,2,46,none,own,1,unskilled,1,no,0,Middle Age,2251.0,Normal
1 - 200 DM,30,good,car,2150,< 100 DM,1 - 4 years,4,2,24,bank,own,1,skilled,1,no,1,Young,537.5,Normal
Missing,24,poor,furniture/appliances,4151,100 - 500 DM,1 - 4 years,2,3,35,none,own,2,skilled,1,no,0,Adult,2075.5,Normal
1 - 200 DM,9,good,furniture/appliances,2030,Missing,4 - 7 years,2,1,24,none,own,1,skilled,1,yes,0,Young,1015.0,Normal
1 - 200 DM,60,poor,furniture/appliances,7418,Missing,1 - 4 years,1,1,27,none,own,1,unskilled,1,no,0,Adult,7418.0,Normal
Missing,24,critical,furniture/appliances,2684,< 100 DM,1 - 4 years,4,2,35,none,own,2,unskilled,1,no,0,Adult,671.0,Normal
< 0 DM,12,very good,furniture/appliances,2149,< 100 DM,1 - 4 years,4,1,29,none,other,1,skilled,1,no,1,Adult,537.25,High Risk
Missing,15,good,car,3812,100 - 500 DM,< 1 year,1,4,23,none,own,1,skilled,1,yes,0,Young,3812.0,Normal
Missing,11,critical,furniture/appliances,1154,100 - 500 DM,unemployed,4,4,57,none,own,3,unskilled,1,no,0,Middle Age,288.5,Normal
< 0 DM,12,good,furniture/appliances,1657,< 100 DM,1 - 4 years,2,2,27,none,own,1,skilled,1,no,0,Adult,828.5,High Risk
< 0 DM,24,good,furniture/appliances,1603,< 100 DM,> 7 years,4,4,55,none,own,1,skilled,1,no,0,Middle Age,400.75,High Risk
< 0 DM,18,critical,car,5302,< 100 DM,> 7 years,2,4,36,none,other,3,management,1,yes,0,Adult,2651.0,High Risk
Missing,12,critical,education,2748,< 100 DM,> 7 years,2,4,57,bank,other,3,unskilled,1,no,0,Middle Age,1374.0,Normal
Missing,10,critical,car,1231,< 100 DM,> 7 years,3,4,32,none,own,2,unskilled,2,no,0,Adult,410.3333333333333,Normal
1 - 200 DM,15,good,furniture/appliances,802,< 100 DM,> 7 years,4,3,37,none,own,1,skilled,2,no,1,Adult,200.5,Normal
Missing,36,critical,business,6304,Missing,> 7 years,4,4,36,none,own,2,skilled,1,no,0,Adult,1576.0,Normal
Missing,24,good,furniture/appliances,1533,< 100 DM,< 1 year,4,3,38,store,own,1,skilled,1,yes,0,Adult,383.25,Normal
< 0 DM,14,good,car,8978,< 100 DM,> 7 years,1,4,45,none,own,1,management,1,yes,1,Middle Age,8978.0,High Risk
Missing,24,good,furniture/appliances,999,Missing,> 7 years,4,2,25,none,own,2,skilled,1,no,0,Young,249.75,Normal
Missing,18,good,car,2662,Missing,4 - 7 years,4,3,32,none,own,1,skilled,1,no,0,Adult,665.5,Normal
Missing,12,critical,furniture/appliances,1402,500 - 1000 DM,4 - 7 years,3,4,37,none,rent,1,skilled,1,yes,0,Adult,467.3333333333333,Normal
1 - 200 DM,48,very good,car,12169,Missing,unemployed,4,4,36,none,other,1,management,1,yes,0,Adult,3042.25,Normal
1 - 200 DM,48,good,furniture/appliances,3060,< 100 DM,4 - 7 years,4,4,28,none,own,2,skilled,1,no,1,Adult,765.0,Normal
< 0 DM,30,good,renovations,11998,< 100 DM,< 1 year,1,1,34,none,own,1,unskilled,1,yes,1,Adult,11998.0,High Risk
Missing,9,good,furniture/appliances,2697,< 100 DM,1 - 4 years,1,2,32,none,own,1,skilled,2,no,0,Adult,2697.0,Normal
Missing,18,critical,furniture/appliances,2404,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,no,0,Adult,1202.0,Normal
< 0 DM,12,good,furniture/appliances,1262,Missing,> 7 years,2,4,49,none,own,1,unskilled,1,yes,0,Middle Age,631.0,Normal
Missing,6,good,furniture/appliances,4611,< 100 DM,< 1 year,1,4,32,none,own,1,skilled,1,no,1,Adult,4611.0,Normal
Missing,24,good,furniture/appliances,1901,100 - 500 DM,1 - 4 years,4,4,29,none,rent,1,management,1,yes,0,Adult,475.25,Normal
Missing,15,critical,car,3368,> 1000 DM,> 7 years,3,4,23,none,rent,2,skilled,1,yes,0,Young,1122.6666666666667,Normal
Missing,12,good,furniture/appliances,1574,< 100 DM,1 - 4 years,4,2,50,none,own,1,skilled,1,no,0,Middle Age,393.5,Normal
> 200 DM,18,very good,furniture/appliances,1445,Missing,4 - 7 years,4,4,49,bank,own,1,unskilled,1,no,0,Middle Age,361.25,Normal
Missing,15,critical,furniture/appliances,1520,Missing,> 7 years,4,4,63,none,own,1,skilled,1,no,0,Senior,380.0,Normal
1 - 200 DM,24,critical,car,3878,100 - 500 DM,< 1 year,4,2,37,none,own,1,skilled,1,yes,0,Adult,969.5,Normal
< 0 DM,47,good,car,10722,< 100 DM,< 1 year,1,1,35,none,own,1,unskilled,1,yes,0,Adult,10722.0,High Risk
< 0 DM,48,good,car,4788,< 100 DM,4 - 7 years,4,3,26,none,own,1,skilled,2,no,0,Adult,1197.0,High Risk
1 - 200 DM,48,poor,car0,7582,100 - 500 DM,unemployed,2,4,31,none,other,1,management,1,yes,0,Adult,3791.0,Normal
1 - 200 DM,12,good,furniture/appliances,1092,< 100 DM,1 - 4 years,4,4,49,none,own,2,skilled,1,yes,0,Middle Age,273.0,Normal
< 0 DM,24,poor,furniture/appliances,1024,< 100 DM,< 1 year,4,4,48,store,own,1,skilled,1,no,1,Middle Age,256.0,High Risk
Missing,12,good,business,1076,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,yes,0,Adult,538.0,Normal
1 - 200 DM,36,good,car,9398,< 100 DM,< 1 year,1,4,28,none,rent,1,management,1,yes,1,Adult,9398.0,Normal
< 0 DM,24,critical,car,6419,< 100 DM,> 7 years,2,4,44,none,other,2,management,2,yes,0,Middle Age,3209.5,High Risk
> 200 DM,42,critical,car,4796,< 100 DM,> 7 years,4,4,56,none,other,1,skilled,1,no,0,Middle Age,1199.0,Normal
Missing,48,critical,business,7629,Missing,> 7 years,4,2,46,bank,own,2,management,2,no,0,Middle Age,1907.25,Normal
1 - 200 DM,48,good,furniture/appliances,9960,< 100 DM,< 1 year,1,2,26,none,own,1,skilled,1,yes,1,Adult,9960.0,Normal
Missing,12,good,car,4675,Missing,< 1 year,1,4,20,none,rent,1,skilled,1,no,0,Young,4675.0,Normal
Missing,10,good,car,1287,Missing,> 7 years,4,2,45,none,own,1,unskilled,1,no,0,Middle Age,321.75,Normal
Missing,18,good,furniture/appliances,2515,< 100 DM,1 - 4 years,3,4,43,none,own,1,skilled,1,yes,0,Middle Age,838.3333333333334,Normal
1 - 200 DM,21,critical,furniture/appliances,2745,> 1000 DM,4 - 7 years,3,2,32,none,own,2,skilled,1,yes,0,Adult,915.0,Normal
Missing,6,good,car,672,< 100 DM,unemployed,1,4,54,none,own,1,unemployed,1,yes,0,Middle Age,672.0,Normal
1 - 200 DM,36,perfect,furniture/appliances,3804,< 100 DM,1 - 4 years,4,1,42,none,own,1,skilled,1,yes,1,Middle Age,951.0,Normal
> 200 DM,24,critical,car,1344,Missing,4 - 7 years,4,2,37,bank,own,2,unskilled,2,no,1,Adult,336.0,Normal
< 0 DM,10,critical,car,1038,< 100 DM,4 - 7 years,4,3,49,none,own,2,skilled,1,yes,0,Middle Age,259.5,High Risk
Missing,48,critical,car,10127,500 - 1000 DM,1 - 4 years,2,2,44,bank,other,1,skilled,1,no,1,Middle Age,5063.5,Normal
Missing,6,good,furniture/appliances,1543,> 1000 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,0,Adult,385.75,Normal
Missing,30,good,car,4811,Missing,4 - 7 years,2,4,24,store,rent,1,unskilled,1,no,0,Young,2405.5,Normal
< 0 DM,12,good,furniture/appliances,727,100 - 500 DM,< 1 year,4,3,33,none,own,1,unskilled,1,yes,1,Adult,181.75,Normal
1 - 200 DM,8,good,furniture/appliances,1237,< 100 DM,1 - 4 years,3,4,24,none,own,1,skilled,1,no,1,Young,412.3333333333333,Normal
1 - 200 DM,9,good,car,276,< 100 DM,1 - 4 years,4,4,22,none,rent,1,unskilled,1,no,0,Young,69.0,Normal
1 - 200 DM,48,good,car0,5381,Missing,unemployed,3,4,40,bank,other,1,unemployed,1,yes,0,Adult,1793.6666666666667,Normal
Missing,24,good,furniture/appliances,5511,100 - 500 DM,1 - 4 years,4,1,25,store,own,1,skilled,1,no,0,Young,1377.75,Normal
> 200 DM,24,good,furniture/appliances,3749,< 100 DM,< 1 year,2,4,26,none,own,1,skilled,1,no,0,Adult,1874.5,Normal
1 - 200 DM,12,good,car,685,< 100 DM,4 - 7 years,2,3,25,bank,own,1,unskilled,1,no,1,Young,342.5,Normal
> 200 DM,4,good,car,1494,Missing,< 1 year,1,2,29,none,own,1,unskilled,2,no,0,Adult,1494.0,Normal
< 0 DM,36,very good,furniture/appliances,2746,< 100 DM,> 7 years,4,4,31,bank,own,1,skilled,1,no,1,Adult,686.5,High Risk
< 0 DM,12,good,furniture/appliances,708,< 100 DM,1 - 4 years,2,3,38,none,own,1,unskilled,2,no,0,Adult,354.0,High Risk
1 - 200 DM,24,good,furniture/appliances,4351,Missing,1 - 4 years,1,4,48,none,own,1,unskilled,1,yes,0,Middle Age,4351.0,Normal
Missing,12,critical,education,701,< 100 DM,1 - 4 years,4,2,32,none,own,2,skilled,1,no,0,Adult,175.25,Normal
< 0 DM,15,poor,furniture/appliances,3643,< 100 DM,> 7 years,1,4,27,none,own,2,unskilled,1,no,0,Adult,3643.0,High Risk
1 - 200 DM,30,critical,car,4249,< 100 DM,unemployed,4,2,28,none,own,2,management,1,no,1,Adult,1062.25,Normal
< 0 DM,24,good,furniture/appliances,1938,< 100 DM,< 1 year,4,3,32,none,own,1,skilled,1,no,1,Adult,484.5,High Risk
< 0 DM,24,good,car,2910,< 100 DM,4 - 7 years,2,1,34,none,other,1,management,1,yes,0,Adult,1455.0,High Risk
< 0 DM,18,good,furniture/appliances,2659,> 1000 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,0,Adult,664.75,Normal
Missing,18,critical,car,1028,< 100 DM,1 - 4 years,4,3,36,none,own,2,skilled,1,no,0,Adult,257.0,Normal
< 0 DM,8,critical,car,3398,< 100 DM,4 - 7 years,1,4,39,none,own,2,unskilled,1,no,0,Adult,3398.0,High Risk
Missing,12,critical,furniture/appliances,5801,Missing,> 7 years,2,4,49,none,rent,1,skilled,1,yes,0,Middle Age,2900.5,Normal
Missing,24,good,car,1525,> 1000 DM,4 - 7 years,4,3,34,none,own,1,skilled,2,yes,0,Adult,381.25,Normal
> 200 DM,36,good,furniture/appliances,4473,< 100 DM,> 7 years,4,2,31,none,own,1,skilled,1,no,0,Adult,1118.25,Normal
1 - 200 DM,6,good,furniture/appliances,1068,< 100 DM,> 7 years,4,4,28,none,own,1,skilled,2,no,0,Adult,267.0,Normal
< 0 DM,24,critical,car,6615,< 100 DM,unemployed,2,4,75,none,other,2,management,1,yes,0,Senior,3307.5,High Risk
Missing,18,critical,education,1864,100 - 500 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no,1,Adult,466.0,Normal
1 - 200 DM,60,good,car,7408,100 - 500 DM,< 1 year,4,2,24,none,own,1,management,1,no,1,Young,1852.0,Normal
Missing,48,critical,car,11590,100 - 500 DM,1 - 4 years,2,4,24,bank,rent,2,unskilled,1,no,1,Young,5795.0,Normal
< 0 DM,24,perfect,furniture/appliances,4110,< 100 DM,> 7 years,3,4,23,bank,rent,2,skilled,2,no,1,Young,1370.0,High Risk
< 0 DM,6,critical,furniture/appliances,3384,< 100 DM,1 - 4 years,1,4,44,none,rent,1,management,1,yes,1,Middle Age,3384.0,High Risk
1 - 200 DM,13,good,furniture/appliances,2101,< 100 DM,< 1 year,2,4,23,none,own,1,unskilled,1,no,0,Young,1050.5,Normal
< 0 DM,15,good,furniture/appliances,1275,Missing,1 - 4 years,4,2,24,none,rent,1,skilled,1,no,1,Young,318.75,Normal
< 0 DM,24,good,furniture/appliances,4169,< 100 DM,1 - 4 years,4,4,28,none,own,1,skilled,1,no,0,Adult,1042.25,High Risk
1 - 200 DM,10,good,furniture/appliances,1521,< 100 DM,1 - 4 years,4,2,31,none,own,1,unskilled,1,no,0,Adult,380.25,Normal
1 - 200 DM,24,critical,education,5743,< 100 DM,< 1 year,2,4,24,none,other,2,skilled,1,yes,0,Young,2871.5,Normal
< 0 DM,21,good,furniture/appliances,3599,< 100 DM,4 - 7 years,1,4,26,none,rent,1,unskilled,1,no,0,Adult,3599.0,High Risk
1 - 200 DM,18,good,furniture/appliances,3213,500 - 1000 DM,< 1 year,1,3,25,none,rent,1,skilled,1,no,0,Young,3213.0,Normal
1 - 200 DM,18,good,business,4439,< 100 DM,> 7 years,1,1,33,bank,own,1,management,1,yes,0,Adult,4439.0,Normal
> 200 DM,10,good,car,3949,< 100 DM,< 1 year,1,1,37,none,own,1,unskilled,2,no,0,Adult,3949.0,Normal
Missing,15,critical,furniture/appliances,1459,< 100 DM,1 - 4 years,4,2,43,none,own,1,unskilled,1,no,0,Middle Age,364.75,Normal
1 - 200 DM,13,critical,furniture/appliances,882,< 100 DM,< 1 year,4,4,23,none,own,2,skilled,1,no,0,Young,220.5,Normal
1 - 200 DM,24,good,furniture/appliances,3758,500 - 1000 DM,unemployed,1,4,23,none,rent,1,unemployed,1,no,0,Young,3758.0,Normal
Missing,6,poor,business,1743,100 - 500 DM,1 - 4 years,1,2,34,none,own,2,unskilled,1,no,0,Adult,1743.0,Normal
1 - 200 DM,9,critical,education,1136,> 1000 DM,> 7 years,4,3,32,none,other,2,skilled,2,no,1,Adult,284.0,Normal
Missing,9,good,furniture/appliances,1236,< 100 DM,< 1 year,1,4,23,none,rent,1,skilled,1,yes,0,Young,1236.0,Normal
1 - 200 DM,9,good,furniture/appliances,959,< 100 DM,1 - 4 years,1,2,29,none,own,1,skilled,1,no,1,Adult,959.0,Normal
Missing,18,critical,car,3229,Missing,unemployed,2,4,38,none,own,1,management,1,yes,0,Adult,1614.5,Normal
< 0 DM,12,perfect,furniture/appliances,6199,< 100 DM,1 - 4 years,4,2,28,none,rent,2,skilled,1,yes,1,Adult,1549.75,High Risk
Missing,10,good,education,727,500 - 1000 DM,> 7 years,4,4,46,none,other,1,skilled,1,yes,0,Middle Age,181.75,Normal
1 - 200 DM,24,good,car,1246,< 100 DM,< 1 year,4,2,23,store,own,1,unskilled,1,no,1,Young,311.5,Normal
Missing,12,critical,furniture/appliances,2331,Missing,> 7 years,1,4,49,none,own,1,skilled,1,yes,0,Middle Age,2331.0,Normal
Missing,36,poor,furniture/appliances,4463,< 100 DM,1 - 4 years,4,2,26,none,own,2,management,1,yes,1,Adult,1115.75,Normal
Missing,12,good,furniture/appliances,776,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,0,Adult,194.0,Normal
< 0 DM,30,good,furniture/appliances,2406,< 100 DM,4 - 7 years,4,4,23,none,rent,1,skilled,1,no,1,Young,601.5,High Risk
1 - 200 DM,18,good,education,1239,Missing,1 - 4 years,4,4,61,none,other,1,skilled,1,no,0,Senior,309.75,Normal
> 200 DM,12,good,furniture/appliances,3399,Missing,> 7 years,2,3,37,none,own,1,management,1,no,0,Adult,1699.5,Normal
> 200 DM,12,poor,car,2247,< 100 DM,1 - 4 years,2,2,36,store,own,2,skilled,1,yes,0,Adult,1123.5,Normal
Missing,6,good,furniture/appliances,1766,< 100 DM,1 - 4 years,1,2,21,none,rent,1,skilled,1,no,0,Young,1766.0,Normal
< 0 DM,18,good,furniture/appliances,2473,< 100 DM,unemployed,4,1,25,none,own,1,unemployed,1,no,1,Young,618.25,High Risk
Missing,12,good,business,1542,< 100 DM,4 - 7 years,2,4,36,none,own,1,skilled,1,yes,0,Adult,771.0,Normal
Missing,18,critical,car,3850,< 100 DM,4 - 7 years,3,1,27,none,own,2,skilled,1,no,0,Adult,1283.3333333333333,Normal
< 0 DM,18,good,furniture/appliances,3650,< 100 DM,< 1 year,1,4,22,none,rent,1,skilled,1,no,0,Young,3650.0,High Risk
< 0 DM,36,good,furniture/appliances,3446,< 100 DM,> 7 years,4,2,42,none,own,1,skilled,2,no,1,Middle Age,861.5,High Risk
1 - 200 DM,18,good,furniture/appliances,3001,< 100 DM,4 - 7 years,2,4,40,none,rent,1,skilled,1,no,0,Adult,1500.5,Normal
Missing,36,good,car,3079,Missing,1 - 4 years,4,4,36,none,own,1,skilled,1,no,0,Adult,769.75,Normal
Missing,18,critical,furniture/appliances,6070,< 100 DM,> 7 years,3,4,33,none,own,2,skilled,1,yes,0,Adult,2023.3333333333333,Normal
Missing,10,critical,furniture/appliances,2146,< 100 DM,< 1 year,1,3,23,none,rent,2,skilled,1,no,0,Young,2146.0,Normal
Missing,60,critical,car,13756,Missing,> 7 years,2,4,63,bank,other,1,management,1,yes,0,Senior,6878.0,Normal
1 - 200 DM,60,very good,car0,14782,100 - 500 DM,> 7 years,3,4,60,bank,other,2,management,1,yes,1,Middle Age,4927.333333333333,Normal
< 0 DM,48,very good,business,7685,< 100 DM,4 - 7 years,2,4,37,none,rent,1,skilled,1,no,1,Adult,3842.5,High Risk
Missing,18,poor,furniture/appliances,2320,< 100 DM,unemployed,2,3,34,none,own,2,skilled,1,no,0,Adult,1160.0,Normal
Missing,7,poor,furniture/appliances,846,Missing,> 7 years,3,4,36,none,other,1,skilled,1,no,0,Adult,282.0,Normal
1 - 200 DM,36,good,car,14318,< 100 DM,> 7 years,4,2,57,none,other,1,management,1,yes,1,Middle Age,3579.5,Normal
Missing,6,critical,car,362,100 - 500 DM,1 - 4 years,4,4,52,none,own,2,unskilled,1,no,0,Middle Age,90.5,Normal
< 0 DM,20,good,furniture/appliances,2212,Missing,4 - 7 years,4,4,39,none,own,1,skilled,1,yes,0,Adult,553.0,Normal
1 - 200 DM,18,good,car,12976,< 100 DM,unemployed,3,4,38,none,other,1,management,1,yes,1,Adult,4325.333333333333,Normal
Missing,22,good,car,1283,Missing,4 - 7 years,4,4,25,none,rent,1,skilled,1,no,0,Young,320.75,Normal
> 200 DM,12,good,car,1330,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no,0,Adult,332.5,Normal
Missing,30,poor,business,4272,100 - 500 DM,1 - 4 years,2,2,26,none,own,2,unskilled,1,no,0,Adult,2136.0,Normal
Missing,18,critical,furniture/appliances,2238,< 100 DM,1 - 4 years,2,1,25,none,own,2,skilled,1,no,0,Young,1119.0,Normal
Missing,18,good,furniture/appliances,1126,Missing,< 1 year,4,2,21,none,rent,1,skilled,1,yes,0,Young,281.5,Normal
1 - 200 DM,18,critical,furniture/appliances,7374,< 100 DM,unemployed,4,4,40,store,own,2,management,1,yes,0,Adult,1843.5,Normal
1 - 200 DM,15,critical,business,2326,500 - 1000 DM,1 - 4 years,2,4,27,bank,own,1,skilled,1,no,0,Adult,1163.0,Normal
Missing,9,good,business,1449,< 100 DM,4 - 7 years,3,2,27,none,own,2,skilled,1,no,0,Adult,483.0,Normal
Missing,18,good,car,1820,< 100 DM,1 - 4 years,2,2,30,none,own,1,management,1,yes,0,Adult,910.0,Normal
1 - 200 DM,12,good,furniture/appliances,983,> 1000 DM,< 1 year,1,4,19,none,rent,1,unskilled,1,no,0,Young,983.0,Normal
< 0 DM,36,good,car,3249,< 100 DM,4 - 7 years,2,4,39,bank,other,1,management,2,yes,0,Adult,1624.5,High Risk
< 0 DM,6,critical,furniture/appliances,1957,< 100 DM,4 - 7 years,1,4,31,none,own,1,skilled,1,no,0,Adult,1957.0,High Risk
Missing,9,critical,furniture/appliances,2406,< 100 DM,unemployed,2,3,31,none,own,1,management,1,no,0,Adult,1203.0,Normal
1 - 200 DM,39,poor,education,11760,100 - 500 DM,4 - 7 years,2,3,32,none,rent,1,skilled,1,yes,0,Adult,5880.0,Normal
< 0 DM,12,good,furniture/appliances,2578,< 100 DM,unemployed,3,4,55,none,other,1,management,1,no,0,Middle Age,859.3333333333334,High Risk
< 0 DM,36,critical,furniture/appliances,2348,< 100 DM,1 - 4 years,3,2,46,none,own,2,skilled,1,yes,0,Middle Age,782.6666666666666,High Risk
1 - 200 DM,12,good,car,1223,< 100 DM,> 7 years,1,1,46,none,rent,2,skilled,1,no,1,Middle Age,1223.0,Normal
Missing,24,critical,furniture/appliances,1516,> 1000 DM,1 - 4 years,4,1,43,none,own,2,unskilled,1,no,0,Middle Age,379.0,Normal
Missing,18,good,furniture/appliances,1473,< 100 DM,< 1 year,3,4,39,none,own,1,skilled,1,yes,0,Adult,491.0,Normal
1 - 200 DM,18,critical,business,1887,Missing,1 - 4 years,4,4,28,bank,own,2,skilled,1,no,0,Adult,471.75,Normal
